key,0,1,2
#,Image,Text,NpcName
offset,8,0,4
int32,Image,str,str
0,0,"",""
1,0,"",""
2,0,"",""
3,0,"",""
4,0,"",""
5,0,"「蒼天街」重建工程終於要開始了。","弗朗塞爾"
6,0,"「蒼天街」重建工程終於要開始了。","弗朗塞爾"
7,0,"主要窗口整備完成！","波特金"
8,0,"主要窗口整備完成！","波特金"
9,0,"請協助改善施工作業環境！","莉茲貝絲"
10,0,"請協助改善施工作業環境！","莉茲貝絲"
11,0,"「無名眾人廣場」的整備作業完成了！","弗朗塞爾"
12,70301,"感謝大家前來協助。<hex:02100103>我是擔任蒼天街重建工程總監的弗朗塞爾·德·艾因哈特。<hex:02100103>在大家的幫助下，蒼天街的重建工程正式開始了。<hex:02100103><hex:02100103>目前我們正在推進蒼天街入口處「無名眾人廣場」的整備作業。<hex:02100103>此處完工後預定成為供各位工匠利用的正式窗口，<hex:02100103>為今後工程提供便利的重要設施將匯聚於此。<hex:02100103>還請大家多多幫忙，在此提前感謝大家了。<hex:02100103><hex:02100103>弗朗塞爾",""
13,70302,"要是湊齊了足夠的資材，<hex:02100103>就能開始著手進行第一次的「聯合重建工程」了。<hex:02100103>關於工程作業流程如下，請各位詳細確認。<hex:02100103><hex:02100103>1.從物資存放處領取資材<hex:02100103>2.在一次工作區加工資材<hex:02100103>3.在最終工作區進行建造<hex:02100103><hex:02100103>以上為工程全部內容，那就拜託了。<hex:02100103><hex:02100103>奧格伯特",""
14,70303,"我是負責物資交納的波特金！<hex:02100103>感謝前些日子各位協助整備物資交納窗口！<hex:02100103>為了能讓各位順暢地交納物資，我會盡全力為各位服務！<hex:02100103><hex:02100103>目前正準備在「無名眾人廣場」的西側建設新的設施！<hex:02100103>期待各位能夠積極交納物資！<hex:02100103><hex:02100103>波特金",""
15,70304,"要是湊齊了足夠的資材，<hex:02100103>就能開始著手進行第二次的「聯合重建工程」了。<hex:02100103>工程作業流程與上回相同，不過為了以防萬一再次提醒各位。<hex:02100103><hex:02100103>1.從物資存放處回收資材<hex:02100103>2.在一次工作區加工資材<hex:02100103>3.在最終工作區進行建造<hex:02100103><hex:02100103>以上為工程全部內容，那就拜託了。<hex:02100103><hex:02100103>奧格伯特",""
16,70305,"各位工匠，<hex:02100103>感謝你們平日以來的貢獻！<hex:02100103><hex:02100103>「無名眾人廣場」可以說是重建工程的中心！<hex:02100103>那就應該變得更舒適……不對，是必須改善工作環境才對！<hex:02100103>比如說點燃篝火……再換塊新的<hex:02280CFF05>EObj<hex:F61EAE970103>什麼的……<hex:02100103>為此拜託請各位湊齊所需資材！<hex:02100103><hex:02100103>莉茲貝絲",""
17,70306,"第三次聯合重建工程分為兩個部分。<hex:02100103><hex:02100103>【篝火的整備工作】<hex:02100103>1.從物資存放處回收資材<hex:02100103>2.在一次工作區加工燃料<hex:02100103>3.將燃料放入篝火<hex:02100103><hex:02100103>【追加設備的整備工作】<hex:02100103>1.從物資存放處回收資材<hex:02100103>2.在一次工作區加工資材<hex:02100103>3.在最終工作區進行建造<hex:02100103>以上為工程全部內容，那就拜託了。<hex:02100103><hex:02100103>奧格伯特",""
18,70307,"「無名眾人廣場」整備計劃的全工程終於完成了。<hex:02100103>在下次重建工程計劃立案之前，<hex:02100103>請各位繼續協助進行物資的籌備工作。<hex:02100103><hex:02100103>重建工程還只是剛剛起步，<hex:02100103>為此需要大量的時間與勞力。<hex:02100103>不過我想將這條街建成充滿笑容溫暖人心的街道。<hex:02100103><hex:02100103>為此今後仍然需要各位的協助。<hex:02100103>請各位繼續協助重建工程吧。<hex:02100103><hex:02100103>弗朗塞爾",""
19,0,"交納蒼天街所需要的製品<hex:02100103>必須是到達一定水準的「收藏品」。<hex:02100103><hex:02100103>此外關於委託品的製作方法，請在聽取完物品交納管理員波特金的說明後，確認「製作筆記」中「重建伊修加德」項目。<hex:02100103><hex:02100103>物品交納管理員波特金不僅負責交納物品的管理，他同時也負責委託品的確認與支付<hex:02280BFF05>Item<hex:F26D9F0103>的工作,有空的時候請隨意拜訪他。<hex:02100103><hex:02100103>根據交納製品的品質與種類會支付相應數量的<hex:02280BFF05>Item<hex:F26D9F0103>。<hex:02100103><hex:02100103>收下的製品將會被完全用於重建工程，希望各位工匠可以大量交納製品。",""
20,0,"「聯合重建工程」是需要大量人員參加的大規模工程計劃。<hex:02100103>交納的物資達到指定數量後即可開工。<hex:02100103><hex:02100103>為了能召集更多的工匠參加施工作業，<hex:02100103>事先將會在<hex:02280CFF05>EObj<hex:F61EAE970103>上貼出告示，<hex:02100103>有意者可隨時來此確認進度訊息。<hex:02100103><hex:02100103>此外雖然作業內容多種多樣，不過因為需要進行剷除瓦礫或是建造建築等作業，因此參加施工的人員僅限於製作以及採集職業者。每次工程都會張貼專門的告示，可在上面確認詳細訊息。<hex:02100103><hex:02100103>對於協助重建工程的工匠，我們將會支付<hex:02280BFF05>Item<hex:F26D9F0103>。<hex:02100103>還望各位踴躍參加。<hex:02100103><hex:02100103><hex:024804F201FC03><hex:024904F201FD03>此外，伴隨重建計劃的完成，<hex:02100103>目前已經終止聯合重建工程的招募工作。<hex:0249020103><hex:0248020103>",""
