key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_REGABR2HELIX_00293_CONTROLSYSTEM_000_000","哢哢……哢、哢哢……管制系統啟動。<hex:02100103>你要調查些什麼嗎？"
1,"TEXT_REGABR2HELIX_00293_Q1_000_000","想了解什麼？"
2,"TEXT_REGABR2HELIX_00293_A1_000_001","你是做什麼的？"
3,"TEXT_REGABR2HELIX_00293_A1_000_002","這裡是什麼地方？"
4,"TEXT_REGABR2HELIX_00293_A1_000_003","取消"
5,"TEXT_REGABR2HELIX_00293_CONTROLSYSTEM_000_010","哢哢……哢……我是管制系統。<hex:02100103>負責螺旋港的管制工作。"
6,"TEXT_REGABR2HELIX_00293_CONTROLSYSTEM_000_011","系統版本3.0……<hex:02100103>使用機殼為方形通用系統。<hex:02100103>希望更換最新BB8型球形系統。"
7,"TEXT_REGABR2HELIX_00293_CONTROLSYSTEM_000_020","哢、哢哢……<hex:02100103>歡迎來到阿濟茲拉的空中大門——螺旋港！"
8,"TEXT_REGABR2HELIX_00293_CONTROLSYSTEM_000_021","在阿濟茲拉，以旗艦島的魔科學研究所為中心，<hex:02100103>分布著各種各樣的研究設施和製造設備。"
9,"TEXT_REGABR2HELIX_00293_CONTROLSYSTEM_000_022","如果踏足禁止入內的地方，<hex:02100103>會觸發防衛系統，被強制驅逐，還望小心。<hex:02100103>另外，我這裡還備有針對各種意外事故的保險。"
10,"TEXT_REGABR2HELIX_00293_CONTROLSYSTEM_000","（未使用/預計刪除）"
11,"TEXT_REGABR2HELIX_00293_SCENE00000Q","（未使用/預計刪除）"
12,"TEXT_REGABR2HELIX_00293_SCENE00000A1","（未使用/預計刪除）"
13,"TEXT_REGABR2HELIX_00293_SCENE00000A2","（未使用/預計刪除）"
14,"TEXT_REGABR2HELIX_00293_SCENE00000A3","（未使用/預計刪除）"
15,"TEXT_REGABR2HELIX_00293_CONTROLSYSTEM_010","（未使用/預計刪除）"
16,"TEXT_REGABR2HELIX_00293_CONTROLSYSTEM_011","（未使用/預計刪除）"
17,"TEXT_REGABR2HELIX_00293_CONTROLSYSTEM_020","（未使用/預計刪除）"
18,"TEXT_REGABR2HELIX_00293_CONTROLSYSTEM_021","（未使用/預計刪除）"
19,"TEXT_REGABR2HELIX_00293_CONTROLSYSTEM_022","（未使用/預計刪除）"
