key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_LUCKSA150_03969_SEQ_00","甘戈斯的擔心的戰士想找冒險者商量關於改良義軍武器的事。"
1,"TEXT_LUCKSA150_03969_SEQ_01","擔心的戰士希望冒險者能幫忙改良武器。和甘戈斯的蓋羅爾特談談。"
2,"TEXT_LUCKSA150_03969_SEQ_02","蓋羅爾特總算是想出了改良義軍武器的方法。改良需要記憶晶塊，要經歷怎樣的戰鬥才能獲得記憶晶塊呢，和茲拉坦談談。"
3,"TEXT_LUCKSA150_03969_SEQ_03",""
4,"TEXT_LUCKSA150_03969_SEQ_04",""
5,"TEXT_LUCKSA150_03969_SEQ_05",""
6,"TEXT_LUCKSA150_03969_SEQ_06",""
7,"TEXT_LUCKSA150_03969_SEQ_07",""
8,"TEXT_LUCKSA150_03969_SEQ_08",""
9,"TEXT_LUCKSA150_03969_SEQ_09",""
10,"TEXT_LUCKSA150_03969_SEQ_10",""
11,"TEXT_LUCKSA150_03969_SEQ_11",""
12,"TEXT_LUCKSA150_03969_SEQ_12",""
13,"TEXT_LUCKSA150_03969_SEQ_13",""
14,"TEXT_LUCKSA150_03969_SEQ_14",""
15,"TEXT_LUCKSA150_03969_SEQ_15",""
16,"TEXT_LUCKSA150_03969_SEQ_16",""
17,"TEXT_LUCKSA150_03969_SEQ_17",""
18,"TEXT_LUCKSA150_03969_SEQ_18",""
19,"TEXT_LUCKSA150_03969_SEQ_19",""
20,"TEXT_LUCKSA150_03969_SEQ_20",""
21,"TEXT_LUCKSA150_03969_SEQ_21",""
22,"TEXT_LUCKSA150_03969_SEQ_22",""
23,"TEXT_LUCKSA150_03969_SEQ_23",""
24,"TEXT_LUCKSA150_03969_TODO_00","和甘戈斯的蓋羅爾特對話"
25,"TEXT_LUCKSA150_03969_TODO_01",""
26,"TEXT_LUCKSA150_03969_TODO_02",""
27,"TEXT_LUCKSA150_03969_TODO_03",""
28,"TEXT_LUCKSA150_03969_TODO_04",""
29,"TEXT_LUCKSA150_03969_TODO_05",""
30,"TEXT_LUCKSA150_03969_TODO_06",""
31,"TEXT_LUCKSA150_03969_TODO_07",""
32,"TEXT_LUCKSA150_03969_TODO_08",""
33,"TEXT_LUCKSA150_03969_TODO_09",""
34,"TEXT_LUCKSA150_03969_TODO_10",""
35,"TEXT_LUCKSA150_03969_TODO_11",""
36,"TEXT_LUCKSA150_03969_TODO_12",""
37,"TEXT_LUCKSA150_03969_TODO_13",""
38,"TEXT_LUCKSA150_03969_TODO_14",""
39,"TEXT_LUCKSA150_03969_TODO_15",""
40,"TEXT_LUCKSA150_03969_TODO_16",""
41,"TEXT_LUCKSA150_03969_TODO_17",""
42,"TEXT_LUCKSA150_03969_TODO_18",""
43,"TEXT_LUCKSA150_03969_TODO_19",""
44,"TEXT_LUCKSA150_03969_TODO_20",""
45,"TEXT_LUCKSA150_03969_TODO_21",""
46,"TEXT_LUCKSA150_03969_TODO_22",""
47,"TEXT_LUCKSA150_03969_TODO_23",""
48,"TEXT_LUCKSA150_03969_RESISTANCESOLDIER03969_000_000","解放者閣下，可以稍微耽誤你一點時間嗎？<hex:02100103>我想和你商量一下關於義軍武器的事。"
49,"TEXT_LUCKSA150_03969_RESISTANCESOLDIER03969_000_001","在古代，保護女王的女王之刃們會通過一場場的戰鬥，<hex:02100103>不斷調整、改良自己的武器……<hex:02100103>這個傳說你應該知道吧？"
50,"TEXT_LUCKSA150_03969_RESISTANCESOLDIER03969_000_002","現在，蓋羅爾特閣下和茲拉坦<hex:02100103>正準備按照傳說改良義軍武器呢。<hex:02100103>可他們似乎一上來就陷入了瓶頸……"
51,"TEXT_LUCKSA150_03969_RESISTANCESOLDIER03969_000_003","之所以會這樣，是因為……<hex:02100103>蓋羅爾特閣下完全沒有想出改良方法。"
52,"TEXT_LUCKSA150_03969_RESISTANCESOLDIER03969_000_005","茲拉坦拚命想要問出進展，<hex:02100103>卻總是被岔開話題，感覺他越來越坐不住了……"
53,"TEXT_LUCKSA150_03969_RESISTANCESOLDIER03969_000_006","看來茲拉坦是幫不上蓋羅爾特閣下了。<hex:02100103>解放者閣下，請你務必幫幫忙，<hex:02100103>去詢問一下詳情。"
54,"TEXT_LUCKSA150_03969_ZLATAN_000_010","解放者閣下！你是來看改良情況的嗎？<hex:02100103>很不幸，還在苦戰中啊。<hex:02100103>主要是我總得看著蓋羅爾特閣下……"
55,"TEXT_LUCKSA150_03969_GEROLT_000_030","哦，是你啊。<hex:02100103>雖然不知道義軍那些人跟你說了些什麼，<hex:02100103>別看我這樣，我可是絞盡腦汁思考著改良方法呢。"
56,"TEXT_LUCKSA150_03969_ZLATAN_000_031","我一開始也以為是這樣……<hex:02100103>可是他對改良方法隻字不提，<hex:02100103>而且只要沒人看管，他就會立刻喝起大酒來！"
57,"TEXT_LUCKSA150_03969_GEROLT_000_032","喂！別瞎說！<hex:02100103>這鍛鐵場裡哪有酒啊……"
58,"TEXT_LUCKSA150_03969_ZLATAN_000_033","爐子後面、岩石下面、彈藥箱裡……到處都是。<hex:02100103>你不會真的以為別人聞不到你那一身酒味吧？"
59,"TEXT_LUCKSA150_03969_GEROLT_000_034","切……藏在彈藥箱裡的酒<hex:02100103>和補給物資一起被送到前線了，我根本就沒喝著。"
60,"TEXT_LUCKSA150_03969_GEROLT_000_035","再說了，我不僅給<hex:022903EB0203>打造了武器，<hex:02100103>還給新生女王之刃每個人都弄了一套，<hex:02100103>改良方法還得我來想，你們是要累死我啊！"
61,"TEXT_LUCKSA150_03969_GEROLT_000_036","製作義軍武器本來就夠麻煩的了，<hex:02100103>再不讓我喝酒的話，我就不幹了！"
62,"TEXT_LUCKSA150_03969_Q1_000_100","要說什麼？"
63,"TEXT_LUCKSA150_03969_A1_000_100","是遇到什麼問題了嗎？"
64,"TEXT_LUCKSA150_03969_A2_000_100","看來天才鍛鐵匠蓋羅爾特也不行了啊……"
65,"TEXT_LUCKSA150_03969_GEROLT_000_040","問題就是刻在義軍武器上的銘文啊。<hex:02100103>這東西太妨礙改良了……"
66,"TEXT_LUCKSA150_03969_GEROLT_000_045","哈——？！開什麼玩笑！<hex:02100103>我永遠都是巔峰狀態好嗎？！<hex:02100103>問題是刻在義軍武器上的銘文！"
67,"TEXT_LUCKSA150_03969_GEROLT_000_050","義軍武器的核心就是這個咒文。<hex:02100103>即使在素材和形狀上下功夫，<hex:02100103>其效果也是微乎其微。"
68,"TEXT_LUCKSA150_03969_GEROLT_000_051","我嘗試過無數種辦法，<hex:02100103>可注入到咒文中的魔力就是無法增加。"
69,"TEXT_LUCKSA150_03969_ZLATAN_000_052","這確實是個問題。<hex:02100103>那當時的女王之刃究竟是怎麼進行改良的呢……<hex:02100103>解放者閣下，你有什麼想法嗎？"
70,"TEXT_LUCKSA150_03969_Q2_000_200","如何作答？"
71,"TEXT_LUCKSA150_03969_A1_000_200","你試過使用探覺石嗎？"
